City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Country
220,bongandanga,1.5,21.05,69.66,90,43,2.44,scattered clouds,CD
221,inhambane,-23.865,35.3833,64.38,90,91,13.51,light rain,MZ
222,airai,-8.9266,125.4092,72.09,54,47,3.91,scattered clouds,TL
223,qaanaaq,77.484,-69.3632,23.47,84,20,5.93,few clouds,GL
224,broome,42.2506,-75.833,66.88,95,100,5.01,light rain,US
225,rosarito,32.3333,-117.0333,71.64,77,28,6.38,scattered clouds,MX
226,thayetmyo,19.3167,95.1833,90.61,52,46,5.48,scattered clouds,MM
227,narsaq,60.9167,-46.05,41.22,77,74,0.2,broken clouds,GL
228,capao da canoa,-29.7456,-50.0097,59.34,90,1,10.11,clear sky,BR
229,sandpoint,48.2766,-116.5533,88.12,30,1,1.01,clear sky,US
230,caracuaro,19.0106,-101.1264,81.55,58,97,4.07,heavy intensity rain,MX
231,nome,64.5011,-165.4064,37.17,67,95,15.93,overcast clouds,US
232,kushima,31.4583,131.2333,77.04,90,100,13.33,overcast clouds,JP
233,luzhou,28.8724,105.4405,74.61,59,99,4.52,overcast clouds,CN
234,atar,20.5169,-13.0499,88.29,29,99,16.89,overcast clouds,MR
235,avarua,-21.2078,-159.775,80.65,74,23,12.66,few clouds,CK
236,oktyabrskoye,43.0645,44.7417,55.54,87,92,1.23,overcast clouds,RU
237,tessalit,20.1986,1.0114,92.77,9,41,10.13,scattered clouds,ML
238,japura,-0.3167,102.35,81.81,84,100,3.69,light rain,ID
239,nanortalik,60.1432,-45.2371,35.19,86,51,11.16,broken clouds,GL
240,atasu,48.6814,71.6433,65.44,56,0,6.26,clear sky,KZ
241,tilichiki,60.4667,166.1,53.65,52,34,15.61,scattered clouds,RU
242,chuy,-33.6971,-53.4616,51.69,74,20,8.28,few clouds,UY
243,krasnohrad,49.3814,35.4402,52.92,97,100,9.69,overcast clouds,UA
244,bambous virieux,-20.3428,57.7575,74.37,75,19,16.51,few clouds,MU
245,arraial do cabo,-22.9661,-42.0278,73.65,82,0,0.74,clear sky,BR
246,wattegama,6.7989,81.4808,77.92,85,100,2.66,overcast clouds,LK
247,tias,28.9611,-13.645,64.15,82,0,14.97,clear sky,ES
248,bilibino,68.0546,166.4372,64.38,30,92,10.0,overcast clouds,RU
249,itupiranga,-5.1347,-49.3267,75.94,83,77,2.06,broken clouds,BR
250,sitka,57.0531,-135.33,49.89,81,90,5.75,light rain,US
251,saint george,37.1041,-113.5841,102.67,11,25,1.99,scattered clouds,US
252,steamboat springs,40.485,-106.8317,77.67,23,1,9.22,clear sky,US
253,kavieng,-2.5744,150.7967,84.38,70,89,5.03,overcast clouds,PG
254,morros,-9.4467,-46.3003,74.88,46,36,2.68,scattered clouds,BR
255,pisco,-13.7,-76.2167,62.02,84,15,3.06,few clouds,PE
256,sorong,-0.8833,131.25,80.06,86,100,8.39,overcast clouds,ID
257,griffith,41.5284,-87.4237,78.66,49,1,4.61,clear sky,US
258,byron bay,-28.65,153.6167,69.75,50,0,11.23,clear sky,AU
259,yar-sale,66.8333,70.8333,41.14,56,42,15.08,scattered clouds,RU
260,diego de almagro,-26.3667,-70.05,58.71,65,0,1.34,clear sky,CL
261,esperance,-33.8667,121.9,61.79,66,0,12.93,clear sky,AU
262,ginda,30.6945,78.4932,72.09,31,2,1.81,clear sky,IN
263,los llanos de aridane,28.6585,-17.9182,62.35,75,90,14.81,overcast clouds,ES
264,toma,12.7667,-2.8833,89.82,32,23,7.05,few clouds,BF
265,ribas do rio pardo,-20.4431,-53.7592,74.16,47,41,4.88,scattered clouds,BR
266,jaguaruna,-28.615,-49.0256,58.42,93,2,6.26,clear sky,BR
267,abha,18.2164,42.5053,66.52,16,63,7.34,broken clouds,SA
268,sao joao da barra,-21.6403,-41.0511,72.3,87,2,1.21,clear sky,BR
269,poronaysk,49.2167,143.1167,43.65,97,100,7.63,light rain,RU
270,half moon bay,37.4636,-122.4286,83.57,71,1,3.44,clear sky,US
271,cidreira,-30.1811,-50.2056,60.85,89,2,13.47,clear sky,BR
272,pochutla,15.7432,-96.4661,79.83,79,51,2.06,broken clouds,MX
273,ninotsminda,41.2646,43.5916,34.25,87,9,1.59,clear sky,GE
274,college,64.8569,-147.8028,69.78,34,75,12.66,broken clouds,US
275,sorland,67.667,12.6934,50.32,79,0,8.61,clear sky,NO
276,villa rica,33.7321,-84.9191,72.75,93,99,4.21,light rain,US
277,svetlyy,54.675,20.1347,51.85,81,72,6.49,broken clouds,RU
278,kendari,-3.945,122.4989,75.99,95,100,3.36,overcast clouds,ID
279,faya,18.3851,42.4509,66.87,14,53,6.08,broken clouds,SA
280,sur,22.5667,59.5289,91.36,41,15,9.48,few clouds,OM
281,mednogorsk,51.4128,57.595,56.62,87,39,22.12,scattered clouds,RU
282,bathsheba,13.2167,-59.5167,80.01,75,100,18.88,overcast clouds,BB
283,aklavik,68.2191,-135.0107,44.24,82,100,6.71,light rain,CA
284,baruun-urt,46.6806,113.2792,61.25,41,35,16.87,scattered clouds,MN
