City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
432,jaciara,BR,70.84,clear sky,-15.9653,-54.9683,Taba Hotel
433,moratuwa,LK,80.62,overcast clouds,6.773,79.8816,Sa Mansion By Yoho
434,petropavlovsk-kamchatskiy,RU,70.39,scattered clouds,53.0452,158.6483,The Hotel Petropavlovsky
436,pasni,PK,84.58,broken clouds,25.2631,63.471,Kashmiri Hotal
440,korla,CN,86.45,overcast clouds,41.7597,86.1469,Gulisitan Hotel
443,nueva guinea,NI,74.59,few clouds,11.6876,-84.4562,Posadita La Reyna
444,coolum beach,AU,70.11,few clouds,-26.5333,153.1,Palmer Coolum Resort
445,tommot,RU,73.36,few clouds,58.9564,126.2925,Gostinitsa Tommot
446,salalah,OM,77.27,overcast clouds,17.0151,54.0924,HAMDAN PLAZA HOTEL SALALAH
447,kysyl-syr,RU,82.35,broken clouds,63.8986,122.7617,
448,dutse,NG,82.63,scattered clouds,11.7594,9.3392,Central Mosque Galamawa
450,lebanon,US,70.79,clear sky,36.2081,-86.2911,Hampton Inn & Suites Lebanon
453,diffa,NE,89.82,overcast clouds,13.3154,12.6113,ProDAF/Diffa
454,chenghai,CN,86.59,overcast clouds,23.4632,116.768,Guangdong Hotel
457,north platte,US,79.32,clear sky,41.1239,-100.7654,"Holiday Inn Express & Suites North Platte, an IHG Hotel"
458,kalemie,CD,70.65,light rain,-5.9475,29.1947,Mahobilali
460,samarai,PG,80.02,moderate rain,-10.6167,150.6667,Nuli Sapi
463,artesia,US,84.63,broken clouds,33.8658,-118.0831,Days Inn & Suites by Wyndham Artesia
465,cayenne,GF,77.09,moderate rain,4.9333,-52.3333,Hôtel Le Dronmi
468,ico,BR,80.53,overcast clouds,-6.4011,-38.8622,Pousada Emanuella
476,tambopata,PE,70.12,overcast clouds,-12.7333,-69.1833,
481,wilmington,US,75.85,overcast clouds,34.2257,-77.9447,"Hotel Ballast Wilmington, Tapestry Collection by Hilton"
482,pilibhit,IN,87.53,scattered clouds,28.6333,79.8,INDIAN WHITE HOUSE
486,nalut,LY,78.85,overcast clouds,30.3333,10.85,
492,quesnel,CA,76.06,broken clouds,52.9999,-122.5029,Ramada by Wyndham Quesnel
493,yumen,CN,81.23,clear sky,40.2833,97.2,
494,kharan,PK,89.31,clear sky,28.5833,65.4167,Dil Aram Bangla
496,jinchang,CN,73.92,clear sky,38.4953,102.1739,Mingshihui Jinchang International Hotel
