City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Ardakan,IR,2021-06-01 06:52:02,32.31,54.0175,97.18,7,0,5.28
120,Ust-Nera,RU,2021-06-01 06:52:02,64.5667,143.2,54.64,68,100,2.42
121,Kalmunai,LK,2021-06-01 06:52:03,7.4167,81.8167,88.72,63,100,9.1
122,Busselton,AU,2021-06-01 06:52:03,-33.65,115.3333,64.09,70,95,4.59
123,Bambous Virieux,MU,2021-06-01 06:52:04,-20.3428,57.7575,80.22,73,40,11.34
124,Hithadhoo,MV,2021-06-01 06:52:04,-0.6,73.0833,84.43,66,89,16.75
125,Tumut,AU,2021-06-01 06:52:04,-35.3,148.2167,54.59,61,100,1.28
126,Constitucion,CL,2021-06-01 06:48:07,-35.3333,-72.4167,57.87,86,100,2.68
127,Kadubivtsi,UA,2021-06-01 06:52:05,48.5834,25.7687,54.36,87,99,4.07
128,Puerto Ayora,EC,2021-06-01 06:52:06,-0.7393,-90.3518,73.54,92,42,5.99
129,Mahebourg,MU,2021-06-01 06:52:06,-20.4081,57.7,80.26,73,40,9.22
130,Srednekolymsk,RU,2021-06-01 06:52:06,67.45,153.6833,66.42,25,9,14.45
131,Usinsk,RU,2021-06-01 06:52:07,65.9939,57.5281,40.41,49,100,24.85
132,Sao Filipe,CV,2021-06-01 06:52:07,14.8961,-24.4956,71.96,77,100,8.08
133,Tilichiki,RU,2021-06-01 06:52:08,60.4667,166.1,44.35,70,35,5.28
134,Cape Town,ZA,2021-06-01 06:52:08,-33.9258,18.4232,56.12,91,75,1.77
135,East London,ZA,2021-06-01 06:52:09,-33.0153,27.9116,56.34,76,20,11.5
136,Provideniya,RU,2021-06-01 06:52:09,64.3833,-173.3,39.31,70,0,8.95
137,Elliot Lake,CA,2021-06-01 06:52:09,46.3834,-82.6331,50.09,96,91,3.6
138,Victoria,HK,2021-06-01 06:51:05,22.2855,114.1577,89.96,88,100,3.0
139,Sovetskiy,RU,2021-06-01 06:52:10,61.3614,63.5842,56.44,32,7,9.08
140,Wabag,PG,2021-06-01 06:52:11,-5.4781,143.7021,59.13,99,100,2.64
141,Grindavik,IS,2021-06-01 06:52:11,63.8424,-22.4338,45.07,87,75,23.09
142,Pelym,RU,2021-06-01 06:52:11,61.0108,61.9978,57.85,30,6,7.65
143,Vila Velha,BR,2021-06-01 06:52:12,-20.3297,-40.2925,68.95,92,40,5.75
144,Mahuva,IN,2021-06-01 06:52:12,21.0914,71.7622,90.79,57,10,15.84
145,Souillac,MU,2021-06-01 06:52:13,-20.5167,57.5167,80.37,73,40,11.65
146,Bowen,AU,2021-06-01 06:52:13,-20.0167,148.2333,73.62,65,19,14.41
147,Sisimiut,GL,2021-06-01 06:52:13,66.9395,-53.6735,35.02,86,94,3.11
148,Pisco,PE,2021-06-01 06:52:14,-13.7,-76.2167,64.45,77,90,3.44
149,Lorengau,PG,2021-06-01 06:52:14,-2.0226,147.2712,81.46,82,100,9.57
150,Clyde River,CA,2021-06-01 06:52:15,70.4692,-68.5914,25.03,100,90,2.3
151,Hobart,AU,2021-06-01 06:48:02,-42.8794,147.3294,57.06,68,75,4.0
152,Castro,BR,2021-06-01 06:52:15,-24.7911,-50.0119,50.58,97,20,1.48
153,Aklavik,CA,2021-06-01 06:52:16,68.2191,-135.0107,34.52,72,100,11.97
154,Chokurdakh,RU,2021-06-01 06:52:16,70.6333,147.9167,71.15,22,91,13.44
155,Kruisfontein,ZA,2021-06-01 06:52:17,-34.0033,24.7314,54.88,70,54,12.66
156,Meulaboh,ID,2021-06-01 06:52:17,4.1363,96.1285,84.07,74,93,9.46
157,Fort Nelson,CA,2021-06-01 06:52:18,58.8053,-122.7002,63.99,48,90,5.75
158,Aksarka,RU,2021-06-01 06:52:18,66.5606,67.7975,51.58,51,100,20.65
159,Primorsk,UA,2021-06-01 06:52:18,46.7348,36.3443,68.2,82,13,18.59
160,Bandarbeyla,SO,2021-06-01 06:52:19,9.4942,50.8122,87.6,54,12,25.88
161,Fortuna,US,2021-06-01 06:52:19,40.5982,-124.1573,62.42,54,100,0.45
162,Arraias,BR,2021-06-01 06:52:19,-12.9288,-46.9437,65.5,48,100,4.27
163,Nikolskoye,RU,2021-06-01 06:52:20,59.7035,30.7861,61.81,42,15,6.91
164,Kirillov,RU,2021-06-01 06:52:20,59.863,38.3813,57.13,38,11,5.01
165,Bontang,ID,2021-06-01 06:52:21,0.1333,117.5,84.9,75,100,4.41
166,Grand Island,US,2021-06-01 06:52:21,40.925,-98.342,59.95,74,1,3.44
167,Guerrero Negro,MX,2021-06-01 06:52:21,27.9769,-114.0611,59.94,85,0,9.26
168,Carballo,ES,2021-06-01 06:52:22,43.213,-8.691,60.58,90,49,5.21
169,Saint-Joseph,RE,2021-06-01 06:52:22,-21.3667,55.6167,81.21,63,0,8.12
170,Ribeira Grande,PT,2021-06-01 06:52:23,38.5167,-28.7,59.4,67,40,6.91
171,Santa Ana,US,2021-06-01 06:48:15,33.7456,-117.8678,68.14,84,75,5.75
172,Lagoa,PT,2021-06-01 06:52:23,39.05,-27.9833,59.36,63,1,20.09
173,Ponta Do Sol,PT,2021-06-01 06:52:24,32.6667,-17.1,65.71,77,30,3.06
174,Pryazha,RU,2021-06-01 06:52:24,61.6926,33.6216,58.23,47,96,3.53
175,Rio Grande,BR,2021-06-01 06:52:25,-32.035,-52.0986,46.94,78,100,10.2
176,Lebu,CL,2021-06-01 06:52:25,-37.6167,-73.65,57.47,99,100,14.25
177,Ahipara,NZ,2021-06-01 06:52:26,-35.1667,173.1667,55.63,77,0,7.4
178,Tigzirt,DZ,2021-06-01 06:52:26,36.8886,4.1198,74.77,70,100,6.13
179,Maracas,BR,2021-06-01 06:52:26,-13.4411,-40.4308,56.98,96,9,2.33
180,Uray,RU,2021-06-01 06:52:27,60.1247,64.7758,56.08,38,5,8.7
181,Christchurch,NZ,2021-06-01 06:52:27,-43.5333,172.6333,47.32,93,90,2.3
182,Khirkiya,IN,2021-06-01 06:52:28,22.1674,76.8605,100.38,27,71,7.29
183,Mount Gambier,AU,2021-06-01 06:52:28,-37.8333,140.7667,55.31,58,100,9.22
184,Aleksandrov Gay,RU,2021-06-01 06:52:29,50.147,48.5704,75.43,62,6,12.03
185,Kuytun,RU,2021-06-01 06:52:29,54.3419,101.5036,59.07,57,98,8.63
186,Puerto Colombia,CO,2021-06-01 06:52:29,10.9878,-74.9547,80.69,82,100,19.98
187,Dikson,RU,2021-06-01 06:52:30,73.5069,80.5464,31.77,98,100,17.16
188,Pocone,BR,2021-06-01 06:52:30,-16.2567,-56.6228,66.9,87,100,2.15
